feature,coefficient
title_token_set,12.16097278676034
trigram_sim,8.195656305557804
lexical_sim,7.1918872615718135
price_ratio_diff,-4.632060500929834
price_both_present,-3.550202792070995
salient_token_jaccard,3.0934563238861545
semantic_sim,1.51655743373551
title_partial,1.303128907510338
size_conflict,-1.1463369806415
category_exact,1.1193841690482862
identifier_any,0.5688668281130711
size_match,0.42527142676206725
exact_sku_same_retailer,-0.3378722403677184
exact_asin,-0.28544446123626094
brand_fuzzy,-0.1705910977650759
brand_exact,-0.1608116121211587
pack_match,0.1391070326996068
variant_conflict,0.12914832838094922
pack_conflict,-0.10693450291352644
exact_sku_cross_retailer,0.07155640732541363
retrieval_layer_count,0.0585463481391307
same_retailer,0.0460878276339261
exact_ean,-0.04588360762362765
exact_upc,-0.02969499597852607
model_token_jaccard,0.022985440807475426
exact_gtin,0.0
